id,result
1_2019_1272_1416,0.5
2_2019_1160_1333,0.5
3_2019_1276_1278,0.5
4_2019_1451_1340,0.5
5_2019_1175_1366,0.5
6_2019_1212_1341,0.5
7_2019_1170_1319,0.5
8_2019_1106_1238,0.5
9_2019_1449_1429,0.5
10_2019_1363_1201,0.5
11_2019_1281_1279,0.5
12_2019_1221_1137,0.5
13_2019_1236_1303,0.5
14_2019_1129_1102,0.5
15_2019_1225_1451,0.5
16_2019_1354_1271,0.5
17_2019_1449_1332,0.5
18_2019_1408_1378,0.5
19_2019_1318_1220,0.5
20_2019_1437_1344,0.5
21_2019_1332_1450,0.5
22_2019_1368_1311,0.5
23_2019_1403_1211,0.5
24_2019_1345_1321,0.5
25_2019_1261_1268,0.5
26_2019_1307_1461,0.5
27_2019_1395_1243,0.5
28_2019_1412_1330,0.5
29_2019_1251_1439,0.5
30_2019_1436_1420,0.5
31_2019_1141_1444,0.5
32_2019_1349_1150,0.5
33_2019_1265_1389,0.5
34_2019_1340_1286,0.5
35_2019_1384_1254,0.5
36_2019_1294_1319,0.5
37_2019_1196_1305,0.5
38_2019_1316_1251,0.5
39_2019_1235_1326,0.5
40_2019_1353_1304,0.5
41_2019_1385_1462,0.5
42_2019_1448_1199,0.5
43_2019_1402_1375,0.5
44_2019_1217_1463,0.5
45_2019_1105_1238,0.5
46_2019_1199_1438,0.5
47_2019_1108_1411,0.5
48_2019_1343_1135,0.5
49_2019_1226_1381,0.5
50_2019_1213_1430,0.5
51_2019_1301_1438,0.5
52_2019_1217_1162,0.5
53_2019_1382_1206,0.5
54_2019_1216_1262,0.5
55_2019_1153_1374,0.5
56_2019_1198_1317,0.5
57_2019_1301_1155,0.5
58_2019_1104_1279,0.5
59_2019_1435_1261,0.5
60_2019_1146_1322,0.5
61_2019_1199_1211,0.5
62_2019_1297_1324,0.5
63_2019_1277_1458,0.5
64_2019_1160_1425,0.5
65_2019_1411_1380,0.5
66_2019_1200_1247,0.5
67_2019_1257_1278,0.5
68_2019_1102_1201,0.5
69_2019_1318_1158,0.5
70_2019_1183_1404,0.5
71_2019_1296_1325,0.5
72_2019_1375_1157,0.5
73_2019_1371_1207,0.5
74_2019_1390_1417,0.5
